                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.80594,                0.51391,                0.91723,                0.95213,                0.84116,                 0.9335,                 0.7182,                0.65447,                0.39532,                0.87465,               0.002278,               0.002278,               0.002278
                     80,                0.80139,                0.51132,                0.91425,                0.92291,                0.86888,                0.93519,                0.72423,                0.65188,                0.39403,                0.87375,               0.002179,               0.002179,               0.002179
                     81,                0.80569,                0.51571,                0.91595,                0.94216,                0.85864,                0.93744,                0.72864,                0.64999,                0.39341,                0.87335,                0.00208,                0.00208,                0.00208
                     82,                0.79758,                0.50739,                0.91307,                0.93878,                0.86541,                0.93538,                0.73063,                  0.648,                0.39287,                0.87268,               0.001981,               0.001981,               0.001981
                     83,                0.80387,                0.51148,                0.91449,                0.93812,                0.85991,                0.93645,                0.72976,                 0.6468,                0.39314,                0.87195,               0.001882,               0.001882,               0.001882
                     84,                0.79127,                0.50305,                0.91164,                0.94832,                0.85945,                0.93725,                0.73104,                0.64507,                0.39214,                0.87167,               0.001783,               0.001783,               0.001783
                     85,                0.78811,                0.50156,                0.91115,                0.95554,                0.86177,                0.93703,                0.73251,                0.64407,                0.39218,                  0.871,               0.001684,               0.001684,               0.001684
                     86,                0.78833,                0.50101,                0.90998,                0.94987,                0.86705,                 0.9395,                0.73546,                0.64224,                0.38917,                0.87003,               0.001585,               0.001585,               0.001585
                     87,                  0.786,                0.49993,                0.91051,                0.93462,                0.87368,                  0.939,                0.73514,                0.64069,                 0.3888,                0.86908,               0.001486,               0.001486,               0.001486
                     88,                0.78138,                0.49808,                0.90879,                0.95472,                0.84925,                0.93773,                0.73282,                 0.6394,                0.38821,                0.86902,               0.001387,               0.001387,               0.001387
                     89,                0.78561,                0.49934,                0.90839,                0.93274,                0.86548,                0.93929,                0.73543,                0.63711,                0.38715,                0.86836,               0.001288,               0.001288,               0.001288
